수출입 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,수입국,수입액(천$),수출액(천$),무역수지(천$),상대국의 한국수입신고금(천$),對한국수입비중,수입 연평균증가율(최근6년),수입 연평균증가율(최근3년),수입 점유율(세계시장),한국의 상대국수출신고금(천$),수입국1,수입국2,수입국3,수입국4,수입국5,수입국6,수입국7,수입국8,수입국9,수입국10,수입국11,수입국12,수입국13,수입국14,수입국15,수입국16,수입국17,수입국18,수입국19,수입국20,수입국21,수입국22,수입국23,수입국24,수입국25,수입국26,수입국27,수입국28,수입국29,수입국30,2022 - 수입금액(천$),2022 - 수입 증가율(%),2022 - 수출액(천$),2022 - 수출 증가율(%),2021 - 수입금액(천$),2021 - 수입 증가율(%),2021 - 수출액(천$),2021 - 수출 증가율(%),2020 - 수입금액(천$),2020 - 수입 증가율(%),2020 - 수출액(천$),2020 - 수출 증가율(%)
20,브라질,"297,786","15,352","-282,434","10,366",3.5,17.0,45.4,1.5,"10,366","중국(68,196)","일본(46,348)","멕시코(26,325)","독일(20,771)","미국(20,471)","폴란드(11,206)","한국(10,366)","이탈리아(9,193)","스페인(5,991)","인도네시아(3,781)","체코(3,391)","인도(2,504)","프랑스(1,704)","아르헨티나(1,521)","덴마크(1,310)","스웨덴(1,298)","태국(1,167)",홍콩(898),스위스(728),영국(665),슬로바키아(454),브라질(364),루마니아(340),네덜란드(226),모로코(210),칠레(193),오스트리아(153),필리핀(150),싱가포르(148),헝가리(116),"297,786",43.5,"15,352",34.1,"207,561",47.4,"11,449",17.1,"140,788",-19.5,"9,781",-57.3
21,영국,"358,632","104,999","-253,633","2,761",0.8,18.2,47.7,1.8,"2,761","중국(42,843)","독일(30,808)","미국(26,362)","스위스(25,831)","스페인(17,700)","프랑스(11,436)","일본(8,158)","덴마크(5,343)","슬로바키아(5,043)","영국(4,943)","멕시코(4,910)","폴란드(4,638)","이탈리아(4,557)","헝가리(4,426)","스웨덴(3,560)","체코(3,540)","필리핀(2,911)","한국(2,761)","튀니지(2,379)","캐나다(1,951)","슬로베니아(1,596)","베트남(1,590)","인도(1,482)","홍콩(1,014)",불가리아(804),오스트리아(779),세르비아(682),루마니아(656),태국(635),네덜란드(483),"358,632",92.5,"104,999",30.2,"186,300",13.3,"80,651",29.5,"164,448",-23.9,"62,261",-25.0
22,홍콩,"90,809","110,435","19,626",496,0.5,-16.2,-1.7,0.5,496,"중국(62,748)","태국(7,227)","베트남(4,199)","미국(1,882)",일본(956),독일(818),필리핀(790),오스트리아(635),스위스(535),한국(496),네덜란드(369),덴마크(223),이탈리아(142),싱가포르(123),프랑스(100),말레이시아(94),영국(82),카타르(63),체코(58),라트비아(46),튀르키예(36),스웨덴(33),폴란드(23),벨기에(16),캐나다(13),이스라엘(11),세르비아(2),호주(1),인도(1),스페인(1),"90,809",-42.0,"110,435",-33.5,"156,460",66.4,"166,077",40.9,"94,034",-27.2,"117,858",-12.5
23,인도,"303,437","59,326","-244,111","16,623",5.5,14.8,50.1,1.5,"16,623","중국(144,952)","일본(20,118)","한국(16,623)","독일(14,731)","인도네시아(11,299)","홍콩(6,435)","필리핀(5,626)","태국(5,147)","베트남(4,368)","미국(4,331)","스위스(3,585)","싱가포르(3,450)","네덜란드(3,170)","슬로바키아(2,720)","프랑스(2,166)","이스라엘(1,618)","벨기에(1,542)","체코(1,257)","덴마크(1,144)",오스트리아(966),영국(900),스웨덴(501),스페인(393),튀르키예(290),말레이시아(284),세르비아(271),헝가리(194),폴란드(171),키프로스(149),멕시코(138),"303,437",44.8,"59,326",98.5,"209,588",55.5,"29,888",9.4,"134,764",-30.6,"27,317",-33.5
24,호주,"119,312","11,018","-108,294","1,614",1.4,10.0,17.1,0.6,"1,614","중국(38,121)","미국(14,046)","태국(5,777)","독일(5,722)","이탈리아(5,365)","덴마크(4,169)","남아프리카공화국(3,349)","영국(2,762)","일본(2,463)","프랑스(2,141)","스위스(1,889)","한국(1,614)","스페인(1,377)","멕시코(1,166)",스웨덴(894),아랍에미리트(692),폴란드(620),오스트리아(618),체코(447),베트남(420),네덜란드(396),캐나다(378),말레이시아(375),뉴질랜드(288),싱가포르(228),벨기에(223),슬로바키아(222),노르웨이(166),헝가리(166),인도(121),"119,312",13.6,"11,018",86.6,"104,984",20.6,"5,906",42.8,"87,022",-8.9,"4,137",-26.6
25,스위스,"231,465","391,328","159,863","5,176",2.2,22.6,42.3,1.2,"5,176","독일(42,138)","중국(40,178)","일본(27,077)","헝가리(10,136)","미국(8,684)","이탈리아(5,742)","한국(5,176)","프랑스(1,743)","포르투갈(1,707)","인도(1,650)","덴마크(1,354)","세르비아(1,237)","슬로베니아(1,096)","체코(1,002)",폴란드(844),슬로바키아(837),오스트리아(786),네덜란드(686),스웨덴(659),스페인(387),벨기에(237),영국(212),홍콩(206),오만(151),이스라엘(151),루마니아(137),멕시코(128),불가리아(116),모로코(108),말레이시아(103),"231,465",62.6,"391,328",89.2,"142,376",24.6,"206,850",18.2,"114,280",1.9,"174,979",-5.9
26,루마니아,"73,697","39,548","-34,149",11,0.0,2.9,-6.4,0.4,11,"중국(28,760)","독일(18,908)","슬로베니아(6,062)","폴란드(4,933)","헝가리(3,238)","세르비아(2,951)","오스트리아(1,467)","튀르키예(1,119)",네덜란드(857),벨기에(607),스위스(553),홍콩(359),영국(299),미국(233),인도(225),프랑스(133),체코(129),일본(82),덴마크(69),불가리아(66),스웨덴(37),슬로바키아(36),포르투갈(32),필리핀(31),멕시코(17),그리스(15),한국(11),스페인(11),우크라이나(9),캐나다(8),"73,697",-15.2,"39,548",-10.2,"86,887",3.2,"44,027",-16.9,"84,163",5.0,"53,012",91.2
27,스웨덴,"89,227","79,087","-10,140","1,016",1.1,10.1,5.0,0.4,"1,016","중국(23,163)","슬로바키아(19,901)","독일(14,814)","미국(5,504)","폴란드(4,026)","덴마크(3,322)","벨기에(2,323)","리투아니아(2,047)","필리핀(1,618)","일본(1,299)","네덜란드(1,176)","한국(1,016)",영국(988),이탈리아(875),멕시코(550),체코(535),슬로베니아(490),노르웨이(444),스위스(412),세르비아(409),프랑스(292),스페인(249),오스트리아(242),헝가리(198),인도(182),루마니아(159),불가리아(144),캐나다(28),홍콩(25),아일랜드(24),"89,227",5.2,"79,087",-3.7,"84,795",4.8,"82,140",2.7,"80,910",-29.4,"80,010",-1.9
28,포르투갈,"89,168","5,349","-83,819",1,0.0,17.4,11.3,0.4,1,"독일(30,760)","중국(23,623)","프랑스(16,931)","체코(4,081)","네덜란드(3,270)","일본(2,785)","스페인(1,860)","루마니아(1,695)",이탈리아(658),세르비아(606),슬로바키아(422),헝가리(285),필리핀(272),미국(222),벨기에(221),멕시코(124),폴란드(63),영국(38),스웨덴(34),덴마크(27),스위스(22),오스트리아(16),노르웨이(9),말레이시아(7),캐나다(4),튀르키예(4),싱가포르(3),브라질(3),슬로베니아(3),지브롤터(2),"89,168",11.3,"5,349",-24.4,"80,122",11.4,"7,072",38.6,"71,949",-12.1,"5,102",5.3
29,리투아니아,"36,792","4,452","-32,340",0,0.0,41.5,61.3,0.2,0,"중국(9,606)","독일(6,750)","네덜란드(5,711)","필리핀(5,144)","싱가포르(1,121)",인도(784),일본(783),스웨덴(478),핀란드(469),이탈리아(426),폴란드(375),루마니아(369),프랑스(336),미국(309),벨기에(177),멕시코(153),에스토니아(118),라트비아(104),체코(60),오스트리아(58),덴마크(48),스위스(28),크로아티아(26),헝가리(15),포르투갈(15),슬로베니아(14),튀르키예(13),영국(12),노르웨이(11),스페인(10),"36,792",10.2,"4,452",24.8,"33,384",136.1,"3,567",29.5,"14,141",49.0,"2,755",46.8
30,싱가포르,"87,449","157,000","69,551","2,371",2.7,15.6,29.2,0.4,"2,371","필리핀(20,471)","미국(13,758)","중국(9,684)","독일(9,096)","일본(5,299)","프랑스(2,407)","한국(2,371)","스위스(2,101)","말레이시아(1,830)","영국(1,660)",노르웨이(881),멕시코(704),네덜란드(687),스페인(245),덴마크(221),인도(151),인도네시아(130),슬로바키아(117),캐나다(110),이스라엘(103),호주(103),헝가리(98),체코(97),스웨덴(95),마카오(94),벨기에(92),폴란드(88),홍콩(83),오스트리아(83),태국(75),"87,449",85.3,"157,000",172.2,"47,198",-9.9,"57,676",-43.8,"52,355",-9.9,"102,561",-33.0
31,슬로베니아,"36,138","101,609","65,471",33,0.1,3.8,19.4,0.2,33,"중국(15,920)","보스니아 헤르체고비나(6,734)","독일(6,062)","슬로바키아(2,578)","오스트리아(1,006)",스위스(333),덴마크(307),헝가리(283),프랑스(232),슬로베니아(220),스웨덴(201),미국(119),일본(101),체코(95),크로아티아(88),영국(73),폴란드(67),벨라루스(51),스페인(44),튀르키예(43),네덜란드(42),루마니아(34),한국(33),세르비아(25),필리핀(23),벨기에(17),노르웨이(16),멕시코(12),호주(11),아일랜드(8),"36,138",2.5,"101,609",1.8,"35,256",39.1,"99,764",28.0,"25,354",-14.8,"77,939",9.7
32,쿠웨이트,"2,101",69,"-2,032",-,-,-2.0,-11.6,0.0,-,중국(618),일본(394),미국(363),독일(229),네덜란드(48),스위스(40),프랑스(17),인도(13),튀르키예(11),캐나다(4),체코(3),싱가포르(2),폴란드(2),스웨덴(1),오스트리아(1),벨기에(1),헝가리(0),-,-,-,-,-,-,-,-,-,-,-,-,-,"2,101",43.8,69,"5,042.5","1,460",-45.7,1,-98.2,"2,689",51.9,76,-70.3
33,러시아연방,"77,184",522,"-76,662",-,-,-3.7,-19.4,0.4,-,"중국(34,628)","독일(8,388)","체코(2,994)","튀르키예(2,266)","폴란드(1,351)","슬로바키아(1,240)",스위스(617),덴마크(616),프랑스(361),오스트리아(299),미국(258),네덜란드(149),일본(143),스페인(125),스웨덴(86),벨기에(79),헝가리(79),영국(48),-,인도(35),세르비아(28),슬로베니아(18),노르웨이(10),루마니아(6),캐나다(1),싱가포르(0),-,-,-,-,"77,184",-12.0,522,46.2,"87,719",-26.1,357,-94.8,"118,765",13.5,"6,842",-9.1
34,벨기에,"93,369","22,183","-71,186",696,0.7,12.8,9.0,0.5,696,"독일(23,004)","슬로바키아(14,242)","중국(13,654)","체코(8,778)","스웨덴(6,979)","네덜란드(5,415)","헝가리(3,564)","멕시코(3,002)","프랑스(2,414)","덴마크(1,975)","일본(1,533)","루마니아(1,234)","미국(1,025)",스위스(987),필리핀(956),한국(696),영국(458),스페인(407),태국(309),폴란드(226),오스트리아(210),인도(101),아일랜드(86),불가리아(63),튀르키예(60),핀란드(48),말레이시아(33),룩셈부르크(22),포르투갈(22),캐나다(20),"93,369",19.0,"22,183",18.4,"78,436",-0.2,"18,738",17.4,"78,565",-14.5,"15,965",2.6
35,불가리아,"126,220","5,962","-120,258",2,0.0,58.4,46.7,0.6,2,"헝가리(51,644)","중국(32,290)","일본(31,521)","독일(3,148)","필리핀(2,707)",네덜란드(665),미국(665),스위스(330),체코(218),덴마크(190),홍콩(136),슬로베니아(122),그리스(112),루마니아(105),벨기에(95),오스트리아(89),싱가포르(81),프랑스(74),폴란드(61),스페인(59),튀르키예(35),말레이시아(35),스웨덴(34),기타국(29),영국(16),슬로바키아(16),룩셈부르크(8),우크라이나(5),한국(2),노르웨이(1),"126,220",35.6,"5,962",-42.4,"93,075",58.6,"10,359",654.9,"58,670",20.8,"1,372",-11.7
36,쿠바,421,0,-420,-,-,7.2,80.5,0.0,-,멕시코(91),네덜란드(60),스페인(52),캐나다(39),독일(17),미국(8),중국(5),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,421,329.8,0,-,98,-24.2,-,-,129,-44.4,-,-
37,베네수엘라,363,0,-363,-,-,-18.1,-63.4,0.0,-,중국(228),미국(49),독일(19),일본(12),스페인(8),스위스(6),폴란드(0),슬로바키아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,363,-4.6,0,-15.3,381,-85.9,0,-99.5,"2,710",-7.8,55,"42,348.8"
