수출입 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,수입국,수입액(천$),수출액(천$),무역수지(천$),상대국의 한국수입신고금(천$),對한국수입비중,수입 연평균증가율(최근6년),수입 연평균증가율(최근3년),수입 점유율(세계시장),한국의 상대국수출신고금(천$),수입국1,수입국2,수입국3,수입국4,수입국5,수입국6,수입국7,수입국8,수입국9,수입국10,수입국11,수입국12,수입국13,수입국14,수입국15,수입국16,수입국17,수입국18,수입국19,수입국20,수입국21,수입국22,수입국23,수입국24,수입국25,수입국26,수입국27,수입국28,수입국29,수입국30,2022 - 수입금액(천$),2022 - 수입 증가율(%),2022 - 수출액(천$),2022 - 수출 증가율(%),2021 - 수입금액(천$),2021 - 수입 증가율(%),2021 - 수출액(천$),2021 - 수출 증가율(%),2020 - 수입금액(천$),2020 - 수입 증가율(%),2020 - 수출액(천$),2020 - 수출 증가율(%)
92,가나,457,2,-455,-,-,-1.9,-22.4,0.0,-,중국(231),미국(46),캐나다(39),체코(23),네덜란드(15),독일(9),인도(8),일본(6),폴란드(3),프랑스(2),벨기에(2),영국(2),튀르키예(2),스위스(1),세르비아(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,457,-61.8,2,-93.6,"1,196",57.5,24,19.2,759,43.7,20,198.0
93,레소토,1,-,-,-,-,-57.7,-79.9,0.0,-,중국(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-76.0,-,-,4,-83.1,-,-,21,-97.0,11,-98.2
94,탄자니아,506,117,-389,17,3.3,1.8,8.5,0.0,-,중국(197),남아프리카공화국(53),독일(20),오스트리아(19),인도(18),한국(17),아랍에미리트(16),미국(12),프랑스(6),호주(4),스웨덴(4),네덜란드(4),뉴질랜드(4),영국(3),폴란드(2),멕시코(2),브라질(2),일본(1),스페인(1),튀르키예(1),핀란드(1),이스라엘(1),체코(1),필리핀(1),말레이시아(1),스위스(0),모리셔스(0),싱가포르(0),덴마크(0),홍콩(0),506,-0.8,117,824.5,510,18.5,13,-53.5,430,21.1,27,-13.7
95,기니비사우,46,-,-,-,-,22.4,433.1,0.0,-,중국(46),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,"128,797.2",-,-,0,-97.8,-,-,2,87.5,-,-
96,가봉,155,12,-143,-,-,15.5,51.5,0.0,-,중국(54),독일(27),프랑스(20),인도(4),영국(2),노르웨이(1),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155,21.7,12,-,128,88.6,-,-,68,-77.4,0,-
97,북한,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,110.7,-,-,16,-17.1,-,-,19,"1,150.1"
98,파나마,"3,510",11,"-3,499",-,-,-8.6,117.4,0.0,-,"중국(2,738)",미국(203),독일(78),멕시코(64),일본(45),네덜란드(44),스웨덴(21),노르웨이(8),오스트리아(7),벨기에(5),스페인(5),홍콩(4),폴란드(4),덴마크(2),프랑스(2),튀르키예(2),스위스(1),슬로베니아(1),슬로바키아(0),인도(0),-,-,-,-,-,-,-,-,-,-,"3,510",98.1,11,99.9,"1,771",138.5,5,-98.1,743,-63.5,291,-26.2
99,르완다,546,4,-541,-,-,53.8,21.4,0.0,-,멕시코(158),이탈리아(69),미국(59),네덜란드(22),인도(4),벨기에(4),중국(3),폴란드(1),베트남(1),독일(1),아랍에미리트(0),튀르키예(0),스페인(0),프랑스(0),캐나다(0),말레이시아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,546,-80.5,4,-,"2,795",654.8,-,-,370,0.9,2,779.5
100,도미니카공화국,"5,878",183,"-5,696",6,0.1,25.6,43.4,0.0,-,"중국(3,702)",미국(925),영국(190),독일(161),일본(152),브라질(138),인도(102),태국(93),멕시코(53),스페인(41),프랑스(9),아르헨티나(9),콜롬비아(7),체코(6),한국(6),폴란드(5),헝가리(5),싱가포르(4),스위스(4),캐나다(3),슬로바키아(2),에콰도르(2),덴마크(2),스웨덴(2),오스트리아(2),벨기에(1),도미니카공화국(1),말레이시아(1),루마니아(1),슬로베니아(1),"5,878",166.3,183,212.3,"2,207",-22.8,58,-55.7,"2,857",37.7,132,-63.2
101,투르크메니스탄,564,-,-,-,-,23.1,96.4,0.0,-,튀르키예(420),중국(125),오스트리아(6),독일(2),프랑스(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,564,296.3,-,-,142,-2.7,-,-,146,-63.0,-,-
102,이라크,"2,849",17,"-2,832",-,-,15.7,16.4,0.0,-,"중국(1,859)",독일(281),튀르키예(172),미국(90),네덜란드(28),일본(23),프랑스(18),스위스(14),체코(9),오스트리아(2),덴마크(1),벨기에(1),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,849",58.6,17,"2,941.6","1,796",-14.5,1,-,"2,101",55.9,-,-
103,아이티,60,-,-,-,-,-39.3,-64.2,0.0,-,미국(52),중국(8),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,-76.2,-,-,253,-46.1,-,-,469,45.6,-,-
104,에스토니아,"3,667","1,174","-2,493",2,0.0,13.7,-34.4,0.0,-,"중국(1,083)",독일(902),스웨덴(369),미국(268),멕시코(90),스위스(64),오스트리아(60),핀란드(56),폴란드(52),이탈리아(43),체코(37),라트비아(34),슬로바키아(28),브라질(26),영국(23),스페인(21),프랑스(19),노르웨이(18),벨기에(16),헝가리(14),루마니아(13),일본(12),덴마크(10),이스라엘(8),인도(7),튀르키예(7),네덜란드(5),캐나다(4),우크라이나(3),불가리아(3),"3,667",-35.6,"1,174",5.5,"5,698",-33.1,"1,113",7.2,"8,523",230.7,"1,038",-22.3
105,튀니지,"5,006","7,183","2,178",-,-,-2.2,27.2,0.0,-,"독일(1,326)",중국(970),덴마크(234),프랑스(226),스위스(98),영국(46),미국(45),네덜란드(37),튀르키예(9),벨기에(7),체코(6),일본(3),인도(2),스페인(2),스웨덴(1),오스트리아(0),캐나다(0),-,-,-,-,-,-,-,-,-,-,-,-,-,"5,006",37.5,"7,183",-4.4,"3,639",17.7,"7,514",93.2,"3,091",-25.8,"3,889",-75.8
106,우루과이,926,6,-919,7,0.7,8.1,71.1,0.0,-,미국(195),중국(99),독일(69),브라질(65),스페인(27),스웨덴(20),벨기에(12),이탈리아(11),프랑스(11),싱가포르(9),한국(7),덴마크(5),세르비아(4),일본(2),스위스(2),아르헨티나(1),아프가니스탄(1),인도(1),영국(1),오스트리아(1),폴란드(1),파라과이(1),헝가리(1),튀르키예(1),네덜란드(1),체코(0),멕시코(0),홍콩(0),칠레(0),마카오(0),926,16.9,6,-37.7,792,150.3,10,46.9,316,-3.4,7,130.1
107,소말리아,336,-,-,-,-,29.4,19.2,0.0,-,중국(329),오스트리아(2),튀르키예(1),프랑스(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,336,-19.3,-,-,416,75.9,-,-,236,32.1,-,-
108,몽골,337,0,-336,-,-,8.7,10.3,0.0,-,중국(207),싱가포르(35),독일(14),튀르키예(9),스웨덴(6),영국(5),일본(2),캐나다(2),스위스(2),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,337,-68.9,0,-95.1,"1,082",291.2,4,-53.9,277,13.4,9,-48.6
109,마다가스카르,"2,914",-,-,-,-,89.4,334.1,0.0,-,"중국(2,833)",프랑스(31),독일(5),인도(2),영국(1),튀르키예(0),스위스(0),오스트리아(0),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,914",429.6,-,-,550,255.8,-,-,155,35.7,0,-92.2
110,아프가니스탄,85,0,-84,-,-,-24.7,-64.0,0.0,-,중국(82),인도(1),덴마크(1),튀르키예(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,-84.3,0,-,538,-17.7,-,-,654,153.2,-,-
111,마케도니아,"1,395",459,-936,1,0.1,13.2,17.4,0.0,-,덴마크(264),중국(146),슬로바키아(86),독일(70),이탈리아(68),크로아티아(29),튀르키예(27),폴란드(14),프랑스(13),스위스(13),네덜란드(12),체코(9),루마니아(8),그리스(8),미국(6),스페인(6),브라질(5),튀니지(5),오스트리아(4),일본(4),불가리아(4),헝가리(3),홍콩(3),멕시코(1),한국(1),필리핀(1),세르비아(1),영국(1),스웨덴(1),베트남(1),"1,395",104.9,459,"5,099.7",681,-32.8,9,-82.5,"1,013",18.6,51,-26.9
112,요르단,"1,118",220,-898,8,0.7,8.1,9.4,0.0,-,중국(422),독일(63),튀르키예(31),폴란드(29),미국(26),스페인(14),이란(13),캐나다(13),영국(10),브라질(9),한국(8),네덜란드(8),스위스(6),덴마크(6),핀란드(5),일본(3),인도(3),세르비아(3),튀니지(2),스웨덴(2),벨기에(1),헝가리(1),체코(1),프랑스(1),불가리아(0),루마니아(0),-,-,-,-,"1,118",19.0,220,250.1,939,0.5,63,54.3,935,-3.2,41,-69.6
113,몰타,364,90,-274,0,0.0,12.6,16.7,0.0,-,독일(154),중국(36),말레이시아(31),튀르키예(22),프랑스(21),미국(19),영국(14),네덜란드(12),스위스(6),일본(5),슬로바키아(2),싱가포르(2),벨기에(2),체코(2),스웨덴(2),오스트리아(1),캐나다(1),슬로베니아(0),폴란드(0),덴마크(0),한국(0),호주(0),라트비아(0),스페인(0),홍콩(0),루마니아(0),-,-,-,-,364,-77.6,90,-32.0,"1,625",508.3,132,3.2,267,-19.6,128,54.6
114,라이베리아,563,-,-,-,-,9.9,17.6,0.0,-,미국(465),중국(55),튀르키예(29),일본(14),인도(0),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,563,35.5,-,-,415,2.0,-,-,407,"2,337.8",5,"1,002.7"
115,엘살바도르,"1,771",130,"-1,641",41,2.3,1.2,40.5,0.0,-,중국(577),미국(490),독일(109),이탈리아(72),프랑스(45),한국(41),일본(40),멕시코(35),폴란드(31),스위스(18),네덜란드(12),브라질(12),핀란드(11),스페인(9),태국(7),파나마(7),조지아(7),영국(6),호주(3),이스라엘(3),과테말라(3),덴마크(3),루마니아(3),콜롬비아(2),홍콩(2),헝가리(1),싱가포르(1),인도(1),체코(1),오스트리아(1),"1,771",-5.4,130,79.5,"1,872",108.7,72,18.5,897,-29.4,61,-2.9
116,몰다비아,"1,279",37,"-1,243",1,0.1,37.4,68.4,0.0,-,중국(427),폴란드(187),독일(97),스위스(67),네덜란드(59),불가리아(34),미국(31),리투아니아(24),튀르키예(14),스웨덴(10),오스트리아(9),덴마크(7),우크라이나(6),멕시코(5),프랑스(4),루마니아(4),일본(3),슬로바키아(3),벨라루스(3),포르투갈(3),러시아연방(2),안도라(2),베트남(2),헝가리(2),스페인(1),체코(1),말레이시아(1),한국(1),핀란드(1),세르비아(1),"1,279",168.1,37,703.5,477,5.7,5,-88.0,451,23.8,38,-28.6
117,모리셔스,550,19,-531,7,1.2,-0.5,25.5,0.0,-,남아프리카공화국(143),중국(111),프랑스(81),이탈리아(19),독일(19),스위스(15),네덜란드(9),한국(7),헝가리(5),스페인(3),일본(2),싱가포르(1),미국(1),멕시코(1),인도(1),폴란드(1),홍콩(1),태국(1),영국(1),인도네시아(1),오스트리아(1),스웨덴(0),베트남(0),튀르키예(0),말레이시아(0),슬로바키아(0),체코(0),아일랜드(0),사우디아라비아(0),벨기에(0),550,28.6,19,3.5,428,22.4,18,-84.6,349,-79.4,120,93.6
118,앙골라,"1,898",16,"-1,882",3,0.2,2.7,2.4,0.0,-,"중국(1,000)",포르투갈(301),베트남(82),아랍에미리트(80),남아프리카공화국(44),스페인(39),영국(16),일본(14),독일(14),벨기에(10),미국(10),프랑스(10),튀르키예(9),노르웨이(8),스웨덴(7),퀴라소(7),나미비아(5),인도(5),멕시코(4),한국(3),카보베르데(3),콩고(3),헝가리(3),폴란드(3),스위스(2),덴마크(2),그리스(1),네덜란드(1),브라질(0),태국(0),"1,898",174.6,16,"5,627.6",691,-61.8,0,-56.3,"1,812",-4.1,1,-97.8
119,사모아 (서사모아),4,2,-2,-,-,-55.6,118.7,0.0,-,중국(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-25.6,2,-,5,543.2,-,-,1,-93.2,-,-
120,가이아나,219,9,-210,-,-,20.2,32.7,0.0,-,미국(123),중국(90),네덜란드(1),영국(1),독일(1),"버진아일랜드,영(1)",캐나다(0),멕시코(0),인도(0),이탈리아(0),스위스(0),트리니다드토바고(0),일본(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,-25.1,9,-,292,135.0,-,-,124,-2.9,0,-65.8
121,네팔,308,0,-307,-,-,-22.7,51.9,0.0,-,인도(131),중국(44),독일(41),미국(35),프랑스(2),체코(2),영국(2),스웨덴(1),싱가포르(1),네덜란드(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,308,117.4,0,-,141,6.1,-,-,133,-53.5,-,-
122,부탄,15,-,-,-,-,46.0,-20.5,0.0,-,인도(14),중국(1),폴란드(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,24,79.3,-,-
123,예멘,816,-,-,-,-,23.4,-28.4,0.0,-,중국(419),일본(364),독일(13),스위스(3),스웨덴(2),인도(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,816,-48.1,-,-,"1,572",-1.2,-,-,"1,591",186.2,-,-
124,레바논,"1,301",6,"-1,295",3,0.2,0.6,125.1,0.0,-,중국(850),프랑스(106),독일(29),튀니지(20),네덜란드(20),미국(18),인도(17),튀르키예(14),영국(11),스위스(8),슬로바키아(3),한국(3),스웨덴(2),멕시코(2),체코(2),오스트리아(1),세르비아(1),캐나다(1),스페인(1),말레이시아(1),폴란드(1),일본(1),루마니아(0),덴마크(0),슬로베니아(0),헝가리(0),싱가포르(0),벨기에(0),태국(0),불가리아(0),"1,301",64.1,6,-49.1,793,208.8,11,-47.5,257,-42.3,22,-75.7
125,세이셸,38,-,-,-,-,-22.4,-0.4,0.0,-,독일(10),노르웨이(6),일본(4),프랑스(2),인도(2),영국(2),중국(1),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,168.2,-,-,14,-63.0,0,-,39,-59.9,-,-
126,파푸아뉴기니,270,1,-269,-,-,-17.3,1.9,0.0,-,중국(204),인도(12),싱가포르(12),필리핀(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,270,130.3,1,-14.1,117,-54.9,1,-97.7,260,103.4,56,782.8
127,짐바브웨,"1,462",-,-,-,-,77.6,50.7,0.0,-,"중국(1,192)",미국(221),네덜란드(16),독일(5),튀르키예(2),스웨덴(2),프랑스(1),인도(1),스위스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,462",16.0,-,-,"1,260",95.7,-,-,644,134.4,-,-
128,아이슬란드,"1,213",319,-893,2,0.2,16.4,48.1,0.0,-,독일(144),네덜란드(48),미국(43),프랑스(41),영국(36),덴마크(30),세르비아(30),노르웨이(27),일본(23),체코(21),스웨덴(20),중국(18),라트비아(18),폴란드(15),스페인(14),스위스(14),이탈리아(9),슬로바키아(8),루마니아(7),캐나다(6),헝가리(6),멕시코(5),벨기에(4),태국(4),인도(3),페로 제도(3),한국(2),오스트리아(1),우크라이나(1),베트남(1),"1,213",63.8,319,155.0,740,33.9,125,134.3,553,-28.0,53,358.1
129,바레인,"1,970",720,"-1,250",16,0.8,30.9,8.2,0.0,-,일본(703),독일(258),중국(178),미국(94),영국(35),싱가포르(24),한국(16),슬로바키아(16),오스트리아(16),네덜란드(13),태국(13),멕시코(12),헝가리(6),덴마크(5),튀르키예(4),캐나다(4),루마니아(4),스위스(3),인도(3),불가리아(3),폴란드(2),말레이시아(2),벨기에(2),-,크로아티아(2),프랑스(2),호주(1),스페인(1),노르웨이(1),세르비아(1),"1,970",34.4,720,"2,883.1","1,466",-12.9,24,294.6,"1,683",189.9,6,-92.3
130,수단,313,79,-234,-,-,-22.6,-19.4,0.0,-,중국(211),독일(28),스위스(19),튀르키예(14),인도(10),체코(0),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,313,34.2,79,-,233,-51.7,-,-,482,20.3,-,-
131,아제르바이잔,"1,204",6,"-1,198",15,1.3,38.9,126.1,0.0,-,중국(579),독일(85),미국(31),튀르키예(25),노르웨이(21),한국(15),러시아연방(13),헝가리(12),영국(10),스위스(6),프랑스(4),인도(3),멕시코(2),일본(2),오스트리아(2),슬로베니아(1),폴란드(1),네덜란드(1),체코(1),덴마크(1),스웨덴(1),세르비아(1),말레이시아(1),슬로바키아(1),홍콩(0),스페인(0),불가리아(0),루마니아(0),크로아티아(0),아일랜드(0),"1,204",304.4,6,-38.5,298,26.5,9,407.9,235,-77.3,2,201.9
132,차드,566,-,-,-,-,57.9,21.3,0.0,-,중국(565),스페인(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,566,68.6,-,-,336,-12.7,4,-,384,67.8,-,-
133,세네갈,806,0,-806,-,-,37.5,101.4,0.0,-,중국(707),독일(15),튀르키예(12),네덜란드(10),프랑스(8),벨기에(3),인도(2),체코(1),스위스(1),캐나다(1),스페인(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,806,257.9,0,-,225,13.3,-,-,199,-22.7,0,-23.9
134,니카라과,725,2,-723,3,0.4,17.6,67.3,0.0,-,중국(165),미국(140),독일(84),멕시코(73),이탈리아(38),스페인(30),체코(20),캐나다(5),스웨덴(4),슬로바키아(4),스위스(4),네덜란드(4),오스트리아(3),한국(3),일본(2),태국(2),프랑스(2),인도(1),인도네시아(1),덴마크(1),필리핀(1),브라질(1),콜롬비아(1),코스타리카(0),헝가리(0),튀르키예(0),루마니아(0),벨기에(0),-,-,725,95.0,2,83.3,372,43.5,1,-79.7,259,-12.2,6,-79.4
135,부르키나파소,"1,051",-,-,-,-,60.8,-1.3,0.0,-,중국(454),프랑스(266),독일(23),벨기에(6),네덜란드(3),인도(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,051",27.6,-,-,824,-23.7,-,-,"1,080","1,006.1",3,-
136,지부티,"1,662",-,-,-,-,10.7,40.1,0.0,-,"중국(1,419)",미국(213),프랑스(10),인도(4),튀르키예(2),독일(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,662",33.0,-,-,"1,250",47.5,-,-,847,-4.1,-,-
137,잠비아,924,0,-924,-,-,17.3,20.4,0.0,-,중국(890),인도(10),체코(7),네덜란드(3),벨기에(1),튀르키예(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,924,-60.1,0,-99.5,"2,317",263.6,1,-92.7,637,96.0,13,-76.9
138,온두라스,"1,170",9,"-1,161",-,-,20.2,55.2,0.0,-,중국(355),미국(274),멕시코(260),독일(110),스페인(10),인도(4),오스트리아(2),프랑스(1),스웨덴(1),네덜란드(1),스위스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,170",5.1,9,-11.8,"1,114",129.3,10,"7,181.1",486,-28.5,0,-99.8
139,말리,396,-,-,-,-,11.3,5.3,0.0,-,중국(331),프랑스(13),네덜란드(9),독일(8),일본(2),노르웨이(1),벨기에(1),스위스(0),스웨덴(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,396,-3.7,-,-,411,15.1,-,-,357,133.5,-,-
140,말라위,85,-,-,-,-,-25.5,44.7,0.0,-,중국(53),인도(17),독일(3),캐나다(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,-83.2,-,-,505,"1,147.5",-,-,40,33.6,-,-
141,시에라리온,780,9,-771,-,-,29.9,123.0,0.0,-,미국(703),독일(31),튀르키예(6),중국(5),네덜란드(0),벨기에(0),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,780,27.7,9,-9.2,611,289.5,10,528.8,157,987.1,2,-79.0
142,기니,303,-,-,-,-,27.5,45.7,0.0,-,프랑스(85),중국(70),미국(11),네덜란드(10),인도(9),튀르키예(6),독일(3),벨기에(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,303,205.6,-,-,99,-30.6,0,-99.8,143,-82.4,65,-
143,니제르,77,-,-,-,-,11.8,31.6,0.0,-,중국(3),미국(2),네덜란드(1),스페인(0),인도(0),스웨덴(0),튀르키예(0),부르키나파소(0),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,-81.3,-,-,411,824.7,2,-,44,-62.4,-,-
144,리비아,490,1,-490,-,-,37.7,-18.7,0.0,-,중국(103),스페인(66),일본(64),독일(47),캐나다(29),미국(15),튀르키예(7),네덜란드(4),스위스(3),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,490,-11.4,1,-,554,-25.5,-,-,743,129.8,-,-
145,동티모르 민주공화국,56,-,-,-,-,13.4,33.6,0.0,-,중국(38),슬로베니아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,"4,263.7",-,-,1,-95.9,-,-,32,-53.4,-,-
146,트리니다드토바고,808,4,-804,-,-,24.2,43.9,0.0,-,미국(449),중국(114),덴마크(76),독일(62),노르웨이(14),캐나다(8),프랑스(7),영국(4),일본(2),스위스(0),체코(0),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,808,260.0,4,133.3,225,-42.4,2,-79.7,390,33.1,8,-60.1
147,몰디브,207,-,-,-,-,-25.2,46.8,0.0,-,싱가포르(43),중국(29),미국(24),영국(15),독일(15),노르웨이(5),인도(3),튀르키예(2),일본(2),오스트리아(2),캐나다(2),루마니아(1),스위스(1),네덜란드(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,207,-65.5,-,-,601,524.7,3,-,96,-91.5,-,-
148,보스니아 헤르체고비나,"2,006","18,885","16,878",1,0.1,13.9,49.6,0.0,-,중국(496),독일(305),이탈리아(129),스위스(26),슬로바키아(22),미국(21),프랑스(20),덴마크(19),슬로베니아(18),오스트리아(14),크로아티아(10),폴란드(10),체코(10),튀르키예(10),헝가리(8),루마니아(8),스웨덴(8),세르비아(7),일본(6),브라질(5),스페인(4),영국(4),말레이시아(3),네덜란드(3),벨기에(2),인도(2),-,홍콩(1),불가리아(1),멕시코(1),"2,006",80.5,"18,885",158.3,"1,112",24.0,"7,310",161.3,897,-18.5,"2,798",238.2
149,브루나이,695,65,-630,6,0.9,-13.5,-40.7,0.0,-,미국(390),싱가포르(59),일본(46),말레이시아(40),중국(38),독일(26),캐나다(20),영국(16),인도네시아(11),스위스(8),한국(6),멕시코(6),네덜란드(4),프랑스(2),인도(2),오스트리아(2),생바르텔레미(1),베트남(1),폴란드(1),에스토니아(1),태국(1),헝가리(0),홍콩(0),슬로바키아(0),루마니아(0),스페인(0),-,-,-,-,695,444.7,65,"10,216.9",128,-93.5,1,-99.8,"1,973",-45.8,252,-82.2
150,바하마,584,-,-,-,-,-14.9,15.7,0.0,-,미국(275),독일(222),중국(20),오스트리아(16),일본(8),덴마크(6),네덜란드(3),홍콩(2),캐나다(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,584,3.0,-,-,567,30.1,1,109.6,436,104.8,1,31.1
151,키프로스,"1,186",191,-995,1,0.1,27.8,59.0,0.0,-,중국(624),튀르키예(112),독일(56),프랑스(44),인도(33),그리스(20),스웨덴(11),영국(6),스위스(5),오스트리아(4),덴마크(3),미국(3),체코(2),벨기에(2),폴란드(2),아랍에미리트(2),네덜란드(2),스페인(1),홍콩(1),한국(1),슬로베니아(0),일본(0),싱가포르(0),슬로바키아(0),인도네시아(0),-,-,-,-,-,"1,186",111.3,191,427.5,561,19.7,36,479.2,469,6.5,6,132.5
152,나미비아,688,182,-506,0,0.1,-1.4,25.3,0.0,-,남아프리카공화국(470),일본(27),독일(20),미국(15),홍콩(14),스페인(10),중국(8),네덜란드(8),덴마크(8),노르웨이(7),잠비아(5),기타국(4),태국(3),호주(3),폴란드(3),벨기에(2),스웨덴(2),체코(1),말레이시아(1),인도(1),한국(0),슬로바키아(0),영국(0),스위스(0),프랑스(0),인도네시아(0),브라질(0),헝가리(0),튀르키예(0),-,688,-20.7,182,156.8,868,98.2,71,172.4,438,-41.1,26,-63.3
153,모리타니아,324,8,-316,-,-,16.8,-6.2,0.0,-,중국(156),프랑스(76),튀르키예(6),독일(1),네덜란드(0),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,324,148.6,8,"9,389.4",130,-64.6,0,-,368,395.9,-,-
154,토고,54,28,-26,-,-,-45.7,-30.6,0.0,-,프랑스(11),네덜란드(9),케냐(5),일본(4),체코(4),중국(3),독일(1),폴란드(0),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,114.3,28,-,25,-77.5,-,-,111,46.6,-,-
155,자메이카,996,-,-,-,-,15.5,70.4,0.0,-,중국(824),독일(17),미국(17),네덜란드(2),일본(2),스위스(0),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,996,350.1,-,-,221,-35.5,1,452.7,343,-28.4,0,-
156,베냉,24,-,-,-,-,-34.9,-75.9,0.0,-,프랑스(7),체코(5),스위스(3),튀르키예(2),아랍에미리트(1),벨기에(1),중국(1),가나(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,59.9,-,-,15,-96.4,17,"2,419.8",415,-88.6,1,-
157,보츠와나,106,1,-105,-,-,-17.6,-29.5,0.0,-,남아프리카공화국(87),독일(6),중국(5),영국(1),체코(1),스위스(0),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,-71.5,1,-,372,74.3,-,-,214,-51.8,14,716.2
158,남수단,140,-,-,-,-,72.7,34.1,0.0,-,중국(140),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,151.8,-,-,56,-28.6,-,-,78,-8.0,-,-
159,조지아,"1,111",255,-856,0,0.0,15.6,58.4,0.0,-,독일(210),튀르키예(157),이탈리아(80),아랍에미리트(68),중국(48),체코(30),스페인(10),영국(8),스웨덴(5),우크라이나(4),몰타(4),폴란드(4),벨기에(3),불가리아(2),카자흐스탄(2),스위스(1),프랑스(1),헝가리(1),네덜란드(1),싱가포르(0),러시아연방(0),이란(0),미국(0),오스트리아(0),루마니아(0),한국(0),슬로바키아(0),슬로베니아(0),-,-,"1,111",242.3,255,8.7,324,-26.7,234,288.6,443,15.4,60,-46.7
